epoch, loss, acc, val_loss, val_acc
1, 0.46530357003211975, 0.8373166918754578, 0.33890992403030396, 0.8805999755859375
2, 0.3341975808143616, 0.8807500004768372, 0.31022050976753235, 0.8866999745368958
3, 0.30022522807121277, 0.8913333415985107, 0.28773510456085205, 0.8981999754905701
4, 0.27436429262161255, 0.8988333344459534, 0.26838406920433044, 0.9018999934196472
5, 0.25266364216804504, 0.9070666432380676, 0.2570435404777527, 0.904699981212616
6, 0.23963819444179535, 0.9103000164031982, 0.24761848151683807, 0.9092000126838684
7, 0.22620967030525208, 0.9166499972343445, 0.24811820685863495, 0.909500002861023
8, 0.21310558915138245, 0.9204000234603882, 0.23956234753131866, 0.9121000170707703
9, 0.2031998187303543, 0.9255666732788086, 0.23437617719173431, 0.914900004863739
10, 0.19283416867256165, 0.9282166957855225, 0.23504921793937683, 0.9153000116348267
